side,charge,pt,phi,eta,momentum_scale
0,-1,0.35,-0.39269908169872436,0.7999999999999999,1.0086285
0,-1,0.35,-0.39269908169872436,1.0,1.0066301
0,-1,0.35,-0.1308996938995748,-1.0,0.9784217
0,-1,0.35,-0.1308996938995748,-0.8,0.9924719
0,-1,0.35,-0.1308996938995748,-0.6000000000000001,1.0003446
0,-1,0.35,-0.1308996938995748,-0.4,1.0047646
0,-1,0.35,-0.1308996938995748,-0.20000000000000007,1.0074999
0,-1,0.35,-0.1308996938995748,0.0,1.0094396
0,-1,0.35,-0.1308996938995748,0.20000000000000007,1.0108684
0,-1,0.35,-0.1308996938995748,0.4,1.0113024
0,-1,0.35,-0.1308996938995748,0.6,1.0103889
0,-1,0.35,-0.1308996938995748,0.7999999999999999,1.0085467
0,-1,0.35,-0.1308996938995748,1.0,1.0065836
0,-1,0.35,0.13089969389957457,-1.0,0.9775884
0,-1,0.35,0.13089969389957457,-0.8,0.9926445
0,-1,0.35,0.13089969389957457,-0.6000000000000001,1.0014418
0,-1,0.35,0.13089969389957457,-0.4,1.0061244
0,-1,0.35,0.13089969389957457,-0.20000000000000007,1.0089163
0,-1,0.35,0.13089969389957457,0.0,1.010703
0,-1,0.35,0.13089969389957457,0.20000000000000007,1.0117348
0,-1,0.35,0.13089969389957457,0.4,1.0115857
0,-1,0.35,0.13089969389957457,0.6,1.0101064
0,-1,0.35,0.13089969389957457,0.7999999999999999,1.0079589
0,-1,0.35,0.13089969389957457,1.0,1.0059583
0,-1,0.35,0.3926990816987239,-1.0,0.97701985
0,-1,0.35,0.3926990816987239,-0.8,0.99391836
0,-1,0.35,0.3926990816987239,-0.6000000000000001,1.0042965
0,-1,0.35,0.3926990816987239,-0.4,1.0089914
0,-1,0.35,0.3926990816987239,-0.20000000000000007,1.0114629
0,-1,0.35,0.3926990816987239,0.0,1.012703
0,-1,0.35,0.3926990816987239,0.20000000000000007,1.0129128
0,-1,0.35,0.3926990816987239,0.4,1.011699
0,-1,0.35,0.3926990816987239,0.6,1.0093259
0,-1,0.35,0.3926990816987239,0.7999999999999999,1.0068642
0,-1,0.35,0.3926990816987239,1.0,1.0049213
0,-1,0.35,0.6544984694978733,-1.0,0.9770954
0,-1,0.35,0.6544984694978733,-0.8,0.99568653
0,-1,0.35,0.6544984694978733,-0.6000000000000001,1.0079074
0,-1,0.35,0.6544984694978733,-0.4,1.0122279
0,-1,0.35,0.6544984694978733,-0.20000000000000007,1.0140196
0,-1,0.35,0.6544984694978733,0.0,1.0145324
0,-1,0.35,0.6544984694978733,0.20000000000000007,1.0136523
0,-1,0.35,0.6544984694978733,0.4,1.0110998
0,-1,0.35,0.6544984694978733,0.6,1.0080308
0,-1,0.35,0.6544984694978733,0.7999999999999999,1.0056278
0,-1,0.35,0.6544984694978733,1.0,1.0039144
0,-1,0.35,0.9162978572970226,-1.0,0.97736233
0,-1,0.35,0.9162978572970226,-0.8,0.9968781
0,-1,0.35,0.9162978572970226,-0.6000000000000001,1.010729
0,-1,0.35,0.9162978572970226,-0.4,1.0148262
0,-1,0.35,0.9162978572970226,-0.20000000000000007,1.015896
0,-1,0.35,0.9162978572970226,0.0,1.0155739
0,-1,0.35,0.9162978572970226,0.20000000000000007,1.0135323
0,-1,0.35,0.9162978572970226,0.4,1.0100148
0,-1,0.35,0.9162978572970226,0.6,1.0069112
0,-1,0.35,0.9162978572970226,0.7999999999999999,1.0048231
0,-1,0.35,0.9162978572970226,1.0,1.0033339
0,-1,0.35,1.178097245096172,-1.0,0.976628
0,-1,0.35,1.178097245096172,-0.8,0.9966703
0,-1,0.35,1.178097245096172,-0.6000000000000001,1.0113717
0,-1,0.35,1.178097245096172,-0.4,1.01575
0,-1,0.35,1.178097245096172,-0.20000000000000007,1.0167123
0,-1,0.35,1.178097245096172,0.0,1.0159878
0,-1,0.35,1.178097245096172,0.20000000000000007,1.0132962
0,-1,0.35,1.178097245096172,0.4,1.0094668
0,-1,0.35,1.178097245096172,0.6,1.006576
0,-1,0.35,1.178097245096172,0.7999999999999999,1.0047144
0,-1,0.35,1.178097245096172,1.0,1.003343
0,-1,0.35,1.4398966328953215,-1.0,0.97498816
0,-1,0.35,1.4398966328953215,-0.8,0.9955187
0,-1,0.35,1.4398966328953215,-0.6000000000000001,1.0103034
0,-1,0.35,1.4398966328953215,-0.4,1.0151849
